CP014715.1_cds_AOA65956.1_408	[locus_tag=AT250_GQ6802562]
CP014715.1_cds_AOA66324.1_409	[gene=COG7]
CP014715.1_cds_AOA65787.1_410	[gene=PMC1]
CP014715.1_cds_AOA66318.1_411	[locus_tag=AT250_GQ6802559]
CP014715.1_cds_AOA66628.1_412	[gene=RNH202]
CP014715.1_cds_AOA66470.1_413	[gene=VMS1]
CP014715.1_cds_AOA66178.1_414	[gene=TCB3]
CP014715.1_cds_AOA66321.1_415	[gene=CIT1]
CP014715.1_cds_AOA66105.1_416	[locus_tag=AT250_GQ6802551]
CP014715.1_cds_AOA66568.1_417	[gene=CWH43]
CP014715.1_cds_AOA65574.1_418	[locus_tag=AT250_GQ6802549]
CP014715.1_cds_AOA65435.1_419	[gene=YCR015C]
CP014715.1_cds_AOA65405.1_420	[locus_tag=AT250_GQ6802547]
CP014715.1_cds_AOA65418.1_421	[gene=YCR016W]
